;site_code;site_name;value_mean;value_min;value_max;value_amount;date_loc_min;date_loc_max
0;20046;им.Э.Т.Кренкеля;-15.394115250291037;-44.4;4.0;17180;1958-01-01 00:00:00.000;2015-07-31 00:00:00.000
1;20107;Баренцбург;-7.338405216377677;-39.8;11.9;27452;1932-01-11 00:00:00.000;2015-12-31 00:00:00.000
2;20674;остров Диксон;-13.867283272702315;-48.1;15.7;29138;1936-01-01 00:00:00.000;2015-12-31 00:00:00.000
3;20891;Хатанга;-16.42727182408266;-64.0;21.8;30196;1929-04-01 00:00:00.000;2015-12-31 00:00:00.000
4;20946;им.Е.К.Федорова;-8.844754482533109;-41.5;15.0;18349;1959-07-01 00:00:00.000;2015-09-30 00:00:00.000
5;20967;Сеяха;-12.710349164077526;-52.0;18.6;27036;1936-10-01 00:00:00.000;2015-12-31 00:00:00.000
6;20973;Кресты Таймыр.;-15.681339795741733;-54.8;24.0;17331;1964-01-01 00:00:00.000;2015-12-31 00:00:00.000
7;20978;Караул;-13.615481790792325;-52.8;20.1;18919;1964-01-01 00:00:00.000;2015-12-31 00:00:00.000
8;20982;Волочанка;-15.60400806654903;-58.8;20.8;27769;1936-01-01 00:00:00.000;2015-12-31 00:00:00.000
9;21432;о. Котельный;-17.165431843267108;-49.9;11.2;28992;1936-01-01 00:00:00.000;2015-10-31 00:00:00.000
10;21535;Пролив Санникова;-17.426369147689645;-49.0;10.3;19629;1959-07-01 00:00:00.000;2015-10-31 00:00:00.000
11;21636;Мыс Кигилях;-16.705421165059754;-48.8;12.4;17321;1959-07-01 00:00:00.000;2015-10-31 00:00:00.000
12;21721;Столб(Им.Хабарова);-15.239450588655012;-47.9;21.3;14015;1959-07-01 00:00:00.000;2015-10-31 00:00:00.000
13;21802;Саскылах;-17.88140506283533;-60.3;23.7;27771;1936-01-01 00:00:00.000;2015-11-30 00:00:00.000
14;21813;Тюмети;-18.667567095534725;-59.4;20.5;17177;1965-01-01 00:00:00.000;2015-10-31 00:00:00.000
15;21824;Тикси,бухта;-16.419626382005337;-50.5;18.8;26230;1936-01-01 00:00:00.000;2015-10-31 00:00:00.000
16;21908;Джалинда;-18.18788329161452;-63.5;24.0;25568;1942-02-20 00:00:00.000;2015-11-30 00:00:00.000
17;21921;Кюсюр;-17.371038988282535;-61.6;21.2;33369;1911-07-01 00:00:00.000;2015-10-31 00:00:00.000
18;21931;Юбилейная;-17.071915654038598;-55.2;21.9;27980;1936-02-01 00:00:00.000;2015-10-31 00:00:00.000
19;21946;Чокурдах;-17.191426810002696;-54.4;21.4;25953;1944-08-01 00:00:00.000;2015-11-30 00:00:00.000
20;21978;Валькаркай;-14.912347138012535;-47.4;16.2;19462;1959-07-01 00:00:00.000;2015-10-31 00:00:00.000
21;21982;О.Врангеля;-13.672838777791577;-57.7;10.7;32204;1926-10-01 00:00:00.000;2015-07-31 00:00:00.000
22;22003;Вайда-Губа;-1.205606648199446;-27.2;21.7;36100;1894-06-15 00:00:00.000;2014-11-30 00:00:00.000
23;22004;Никель;-2.8367337785308484;-40.3;23.0;20066;1959-01-01 00:00:00.000;2014-12-31 00:00:00.000
24;22009;Перевал;-4.131803498506735;-33.2;20.3;16407;1956-09-02 00:00:00.000;2014-12-31 00:00:00.000
25;22012;Цып-Наволок;-1.4360995203369342;-26.0;17.5;25643;1936-01-08 00:00:00.000;2014-03-31 00:00:00.000
26;22018;Ура-Губа;-3.3164430268367795;-41.9;20.6;18184;1959-07-01 00:00:00.000;2014-12-31 00:00:00.000
27;22019;Полярное;-1.6321191926155731;-32.7;22.1;26109;1936-01-01 00:00:00.000;2014-12-31 00:00:00.000
28;22028;Териберка;-2.11980551980552;-32.0;22.4;41958;1893-06-01 00:00:00.000;2014-12-31 00:00:00.000
29;22100;Верховье р.Лотты;-6.3375744450460205;-50.7;19.6;18470;1960-01-01 00:00:00.000;2013-06-30 00:00:00.000
30;22101;Янискоски;-5.3821629990047555;-46.1;20.0;18086;1959-07-01 00:00:00.000;2013-06-30 00:00:00.000
31;22105;Ниванкюль;-4.058528292311596;-48.0;21.2;19705;1959-07-01 00:00:00.000;2014-12-31 00:00:00.000
32;22106;Падун;-4.878280542986426;-47.6;19.6;27625;1936-01-01 00:00:00.000;2014-12-31 00:00:00.000
33;22113;Мурманск;-2.536511958898879;-39.4;21.3;28807;1936-01-12 00:00:00.000;2014-12-31 00:00:00.000
34;22127;Ловозеро;-5.962972521081709;-46.8;31.3;27512;1936-01-01 00:00:00.000;2014-12-31 00:00:00.000
35;22140;Святой Нос;-2.258324379700657;-31.9;21.0;40021;1895-11-01 00:00:00.000;2014-07-31 00:00:00.000
36;22165;Канин Нос;-3.0277520598596674;-33.1;21.1;34347;1915-11-06 00:00:00.000;2014-05-31 00:00:00.000
