;site_code;site_name;value_mean;value_min;value_max;value_amount;date_loc_min;date_loc_max
0;1001;р.Колыма - с.Оротук;0.001368738023542294;0.0;1.0;3653;2008-01-01 00:00:00.000;2017-12-31 00:00:00.000
1;1010;р.Колыма - пос.Усть-Среднекан;901.6645529197081;0.0;9940.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
2;1081;1081;1.2313024054982817;0.003;13.4;1746;2008-05-12 00:00:00.000;2020-10-28 00:00:00.000
3;1101;1101;0.32269683655536024;0.0;4.52;1138;2008-05-09 00:00:00.000;2013-12-31 00:00:00.000
4;1102;1102;0.5164980167474659;0.0;7.03;2269;2008-05-07 00:00:00.000;2020-11-09 00:00:00.000
5;1104;1104;3.3736901121304794;0.0;109.0;981;2008-05-12 00:00:00.000;2013-12-31 00:00:00.000
6;1105;1105;139.8059159159159;0.3;3150.0;999;2008-05-07 00:00:00.000;2013-10-26 00:00:00.000
7;1107;1107;6.137196896217264;0.0;184.0;1031;2008-05-07 00:00:00.000;2013-12-31 00:00:00.000
8;1127;1127;5.526681867535287;0.002;116.0;1842;2008-05-18 00:00:00.000;2020-10-31 00:00:00.000
9;1151;1151;31.61849680656934;0.23;1080.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
10;1176;1176;117.90387553041018;0.0;4130.0;4242;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
11;1217;1217;1.6579274265360642;0.0;32.6;2246;2008-05-12 00:00:00.000;2020-10-31 00:00:00.000
12;1342;1342;22.107313737435273;0.027;246.0;3283;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
13;1368;1368;14.416306095110514;0.0;503.0;2986;2008-05-19 00:00:00.000;2020-12-25 00:00:00.000
14;1421;р.Погынден - устье р.Инкуливеем;110.81715623814942;0.0;1500.0;2637;2008-05-16 00:00:00.000;2020-12-31 00:00:00.000
15;1425;р.Инкуливеем - в 2.0 км от устья;1.6027058125741398;0.0;49.4;1686;2008-05-20 00:00:00.000;2017-12-31 00:00:00.000
16;1534;1534;7.01420848540146;0.49;163.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
17;1538;1538;1.441756386861314;0.0;38.1;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
18;1556;1556;11.03261405109489;0.14;272.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
19;1563;1563;5.319467962063382;0.27;110.0;4323;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
20;1566;р.Тауй - с.Талон;442.0502737226277;27.8;5650.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
21;1576;р.Иска(Большая Иска) - с.Власьево;14.892625456204378;0.72;224.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
22;1578;Нелемное;410.73827554744526;17.9;4530.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
23;1593;1593;0.9588325729927007;0.0;17.7;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
24;1596;р.Большой Анюй - ГМС Константиновская;291.4602600364964;1.54;4920.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
25;1608;1608;3.798718065693431;0.27;85.9;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
26;1619;1619;15.833480403570043;0.003;275.0;2577;2008-05-17 00:00:00.000;2020-11-30 00:00:00.000
27;1625;1625;155.2688888888889;0.0;2800.0;1008;2008-05-07 00:00:00.000;2013-10-26 00:00:00.000
28;1801;р.Колыма - г.Среднеколымск;2807.0618156934306;217.0;29900.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
29;2007;р.Камчатка,Озерная Камчатка -  уроч.Бугры;7.35744753649635;0.0;86.7;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
30;2010;р.Камчатка - с.Верчне-Камчатск;91.16411952554745;23.0;608.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
31;2013;р.Камчатка - с.Долиновка;12.021000248818114;0.0;189.0;4019;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
32;2014;р.Камчатка - пос.Лазо;33.50012132977432;0.0;203.0;4121;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
33;2017;р.Камчатка - р.п.Козыревск;516.3268704379562;0.0;2650.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
34;2021;р.Камчатка - г.Ключи;560.4561027837259;0.0;3010.0;4203;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
35;2026;р.Правая Камчатка - уроч.Бугры;5.825643248175182;0.51;38.9;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
36;2027;р.Берш - с.Пущино;2.545465328467153;0.26;18.2;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
37;2030;р.Кунч - в 5.4км от устья;2.8118083691826357;0.0;42.9;2557;2008-01-01 00:00:00.000;2014-12-31 00:00:00.000
38;2032;р.Машихинская - в 14.6км от устья;0.4569305666400638;0.0;6.44;1253;2008-05-21 00:00:00.000;2014-12-31 00:00:00.000
39;2034;р.Андриановка - с.Верхне-Камчатск;31.60838047445256;1.74;244.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
40;2040;р.Кирганик - с.Кирганик;27.89146897810219;5.87;218.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
41;2043;р.Долиновка - с.Долиновка;0.22734671532846715;0.02;2.28;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
42;2048;р.Толбачик - с.Толбачик;11.551998175182481;0.0;70.7;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
