;site_code;site_name;value_mean;value_min;value_max;value_amount;date_loc_min;date_loc_max
0;20046;им.Э.Т.Кренкеля;-12.848961303462321;-42.1;6.2;17185;1958-01-01 00:00:00.000;2015-07-31 00:00:00.000
1;20107;Баренцбург;-4.999941756761675;-36.8;14.7;27471;1932-01-01 00:00:00.000;2015-12-31 00:00:00.000
2;20674;остров Диксон;-11.11425500190714;-45.3;21.1;28839;1936-01-01 00:00:00.000;2015-12-31 00:00:00.000
3;20891;Хатанга;-12.609691897546654;-57.8;28.3;29633;1928-12-01 00:00:00.000;2015-12-31 00:00:00.000
4;20946;им.Е.К.Федорова;-6.020733435047951;-38.4;19.2;18352;1959-07-01 00:00:00.000;2015-09-30 00:00:00.000
5;20967;Сеяха;-9.291852232290253;-49.3;25.3;27259;1936-10-01 00:00:00.000;2015-12-31 00:00:00.000
6;20973;Кресты Таймыр.;-11.982135025966532;-51.6;25.2;17330;1964-01-01 00:00:00.000;2015-12-31 00:00:00.000
7;20978;Караул;-10.033701511468132;-50.7;24.9;18922;1964-01-01 00:00:00.000;2015-12-31 00:00:00.000
8;20982;Волочанка;-11.329542262397812;-56.4;27.2;27767;1936-01-01 00:00:00.000;2015-12-31 00:00:00.000
9;21432;о. Котельный;-14.305645216911511;-47.3;18.2;28998;1936-01-01 00:00:00.000;2015-10-31 00:00:00.000
10;21535;Пролив Санникова;-14.734801874299682;-45.6;14.7;19634;1959-07-01 00:00:00.000;2015-10-31 00:00:00.000
11;21636;Мыс Кигилях;-14.062862914862915;-43.4;17.3;17325;1959-07-01 00:00:00.000;2015-10-31 00:00:00.000
12;21721;Столб(Им.Хабарова);-12.217686929223746;-47.3;26.8;14016;1959-07-01 00:00:00.000;2015-10-31 00:00:00.000
13;21802;Саскылах;-13.997674252438285;-59.1;29.1;27991;1936-01-01 00:00:00.000;2015-11-30 00:00:00.000
14;21813;Тюмети;-14.179006391632772;-58.0;25.8;17210;1965-01-01 00:00:00.000;2015-10-31 00:00:00.000
15;21824;Тикси,бухта;-12.788191108060703;-47.8;27.2;26226;1936-01-01 00:00:00.000;2015-10-31 00:00:00.000
