;site_code;site_name;value_mean;value_min;value_max;value_amount;date_loc_min;date_loc_max
0;1001;р.Колыма - с.Оротук;97.3052438745134;-25.0;523.0;4367;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
1;1005;1005;323.788549270073;180.0;1090.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
2;1007;1007;119.53242677824268;0.0;710.0;3824;2008-01-01 00:00:00.000;2020-09-12 00:00:00.000
3;1010;р.Колыма - пос.Усть-Среднекан;345.29655185523114;10.0833333333333;980.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
4;1012;1012;222.94205421536932;0.0;799.0;4021;2008-01-01 00:00:00.000;2020-10-31 00:00:00.000
5;1015;р.Колыма - с.Балыгычан;195.36107650137055;0.0;793.0;4013;2008-01-01 00:00:00.000;2020-10-31 00:00:00.000
6;1016;р.Колыма - ГМС Коркодон;243.88786177014975;0.0;1038.0;3962;2008-01-01 00:00:00.000;2020-11-04 00:00:00.000
7;1018;р.Колыма - пос.Зырянка;305.49595976880374;10.5833333333333;941.0;4383;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
8;1053;р.Берелех - г.Сусуман;211.61081322609473;0.0;518.0;2238;2008-05-12 00:00:00.000;2020-11-08 00:00:00.000
9;1081;1081;118.19530355097365;90.0;226.0;1746;2008-05-12 00:00:00.000;2020-10-28 00:00:00.000
10;1095;р.Кулу - с.Кулу;120.73015476784823;0.0;506.0;4006;2008-01-01 00:00:00.000;2020-10-31 00:00:00.000
11;1101;1101;215.34622144112478;0.0;387.0;1138;2008-05-09 00:00:00.000;2013-12-31 00:00:00.000
12;1102;1102;71.55830706888788;26.0;230.0;2221;2008-05-07 00:00:00.000;2020-10-19 00:00:00.000
13;1103;1103;20.214876033057852;8.0;33.0;121;2008-06-01 00:00:00.000;2008-09-29 00:00:00.000
14;1104;1104;11.04957805907173;0.0;62.0;948;2008-05-12 00:00:00.000;2013-12-31 00:00:00.000
15;1105;1105;124.22322322322323;105.0;190.0;999;2008-05-07 00:00:00.000;2013-10-26 00:00:00.000
16;1107;1107;3.938894277400582;0.0;45.0;1031;2008-05-07 00:00:00.000;2013-12-31 00:00:00.000
17;1127;1127;94.57328990228012;6.0;224.0;1842;2008-05-18 00:00:00.000;2020-10-31 00:00:00.000
18;1151;1151;164.93134124087592;110.0;426.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
19;1176;1176;164.14852963554745;0.0;682.0;4381;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
20;1217;1217;52.140625;-6.0;186.0;2048;2008-05-12 00:00:00.000;2020-10-31 00:00:00.000
21;1229;1229;26.575724439584473;-47.0;209.0;3658;2008-05-02 00:00:00.000;2020-10-31 00:00:00.000
22;1342;1342;34.69305724725944;-34.0;194.0;3284;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
23;1367;Березовка;538.219465189111;0.0;1124.0;4151;2008-01-01 00:00:00.000;2020-10-31 00:00:00.000
24;1368;1368;119.94115156646909;0.0;309.0;2362;2008-05-19 00:00:00.000;2020-12-26 00:00:00.000
25;1369;1369;50.197565543071164;-35.0;378.0;1068;2011-01-01 00:00:00.000;2013-12-31 00:00:00.000
26;1396;р.Малый Анюй - с.Илирней;134.04228707564027;0.0;469.0;1679;2011-05-25 00:00:00.000;2020-12-31 00:00:00.000
27;1397;р.Малый Анюй - с.Островное;369.91902372262774;277.0;709.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
28;1398;р.Малый Анюй - с.Анюйск;460.60150547445255;296.0;1133.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
29;1420;1420;57.44317592112091;32.0;112.0;1927;2008-05-20 00:00:00.000;2020-10-25 00:00:00.000
30;1421;р.Погынден - устье р.Инкуливеем;103.10709433229813;0.0;461.0;2576;2008-05-16 00:00:00.000;2020-12-31 00:00:00.000
31;1425;р.Инкуливеем - в 2.0 км от устья;182.16990560799556;0.0;393.0;1801;2008-05-20 00:00:00.000;2020-10-31 00:00:00.000
32;1496;1496;8.195924764890282;-57.0;448.0;3828;2009-01-01 00:00:00.000;2020-12-31 00:00:00.000
33;1497;1497;110.61430921052632;0.0;562.0;3648;2010-01-01 00:00:00.000;2020-12-31 00:00:00.000
34;1498;1498;63.19411496350365;0.0;522.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
35;1500;1500;177.15402658326818;34.0;795.0;2558;2011-01-01 00:00:00.000;2020-12-31 00:00:00.000
36;1502;1502;64.88632580261593;0.0;376.0;4205;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
37;1504;1504;606.1149635036496;515.0;1041.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
38;1508;1508;111.63891423357664;17.0;554.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
39;1529;1529;46.445410628019324;-46.0;339.0;4140;2008-01-01 00:00:00.000;2020-12-16 00:00:00.000
40;1534;1534;53.18399401645475;0.0;216.0;4011;2008-01-01 00:00:00.000;2020-12-10 00:00:00.000
41;1538;1538;23.176794198549636;0.0;120.0;3999;2008-01-01 00:00:00.000;2020-12-08 00:00:00.000
42;1551;1551;58.12640519610292;-57.0;315.0;4003;2008-01-01 00:00:00.000;2020-10-31 00:00:00.000
43;1556;1556;120.26619525547446;35.0;315.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
44;1563;1563;107.23275862068965;0.0;331.0;3944;2008-01-01 00:00:00.000;2020-12-10 00:00:00.000
45;1566;р.Тауй - с.Талон;325.0627281021898;199.0;758.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
46;1569;р.Уда - с.Удское;435.57139598540147;355.0;778.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
47;1575;р.Тугур,протока Гадек - ГМС Бурукан;468.73131170662907;404.0;684.0;4254;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
48;1576;р.Иска(Большая Иска) - с.Власьево;180.72034671532847;131.0;368.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
49;1578;Нелемное;847.0654653284671;750.0;1336.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
50;1588;р.Палатка - пос.Палатка;43.63417060432728;0.0;174.0;4021;2008-01-01 00:00:00.000;2020-10-31 00:00:00.000
51;1593;1593;26.822042730588848;0.0;122.0;3838;2008-01-01 00:00:00.000;2020-12-08 00:00:00.000
52;1596;р.Большой Анюй - ГМС Константиновская;469.03937614051097;0.0;1043.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
53;1608;1608;104.43352896146976;0.0;290.0;3919;2008-01-01 00:00:00.000;2020-12-10 00:00:00.000
54;1618;1618;142.3167559296098;0.0;483.0;3921;2008-01-01 00:00:00.000;2020-10-31 00:00:00.000
55;1619;1619;188.5036864571207;107.0;364.0;2577;2008-05-17 00:00:00.000;2020-11-30 00:00:00.000
56;1621;1621;174.96345363179535;0.0;316.0;2189;2008-05-18 00:00:00.000;2020-12-08 00:00:00.000
57;1622;1622;121.42006437768241;0.0;459.0;3728;2008-01-01 00:00:00.000;2020-10-31 00:00:00.000
58;1625;1625;51.43738317757009;0.0;139.0;1070;2008-05-07 00:00:00.000;2013-12-31 00:00:00.000
59;1627;1627;821.8731751824818;705.0;1239.0;1096;2009-01-01 00:00:00.000;2012-12-31 00:00:00.000
60;1630;1630;120.88003095975232;0.0;506.0;2584;2008-01-01 00:00:00.000;2020-08-27 00:00:00.000
61;1631;1631;85.93038717246773;0.0;272.0;2557;2008-01-01 00:00:00.000;2014-12-31 00:00:00.000
62;1801;р.Колыма - г.Среднеколымск;345.404745608031;135.0;1383.0;4383;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
63;1802;р.Колыма - с.Колымское;279.0050467609489;8.125;1045.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
64;1805;р.Колыма - р.п.Черский;90.10065318403412;-82.0;577.0;4376;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
65;2007;р.Камчатка,Озерная Камчатка -  уроч.Бугры;177.65237226277372;0.0;299.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
66;2008;р.Камчатка - с.Пущино;212.57846715328466;163.0;437.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
67;2010;р.Камчатка - с.Верчне-Камчатск;528.6263686131387;483.0;775.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
68;2013;р.Камчатка - с.Долиновка;338.96715328467155;208.0;688.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
69;2014;р.Камчатка - пос.Лазо;193.15510948905109;53.0;551.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
70;2017;р.Камчатка - р.п.Козыревск;189.9279102037713;5.54166666666667;492.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
71;2021;р.Камчатка - г.Ключи;203.24201642335765;125.0;491.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
72;2023;р.Камчатка - ур.Большие Щеки;105.34108951546673;-78.0;414.0;3653;2008-01-01 00:00:00.000;2017-12-31 00:00:00.000
73;2026;р.Правая Камчатка - уроч.Бугры;173.20369525547446;144.0;344.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
74;2027;р.Берш - с.Пущино;121.07778284671532;98.0;177.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
75;2028;р.Кашкан - с.Пущино;140.70962591240877;75.0;239.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
76;2030;р.Кунч - в 5.4км от устья;188.8064133016627;0.0;263.0;2526;2008-01-01 00:00:00.000;2014-12-31 00:00:00.000
77;2032;р.Машихинская - в 14.6км от устья;170.47964884277732;0.0;256.0;1253;2008-05-21 00:00:00.000;2014-12-31 00:00:00.000
78;2034;р.Андриановка - с.Верхне-Камчатск;140.38298357664235;43.0;279.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
79;2040;р.Кирганик - с.Кирганик;272.1754105839416;220.0;418.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
80;2043;р.Долиновка - с.Долиновка;170.97582116788323;128.0;314.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
81;2048;р.Толбачик - с.Толбачик;561.0953467153284;0.0;758.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
82;2057;р.Быстрая - с.Эссо;180.52417883211677;156.0;281.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
83;2058;р.Уксичан - с.Эссо;151.5996806569343;132.0;202.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
84;2062;р.Анавгай - с.Анавгай;523.7153284671533;0.0;683.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
85;2065;2065;13.685270805812417;0.0;450.0;1514;2009-04-18 00:00:00.000;2017-12-31 00:00:00.000
86;2087;р.Авача(Средняя Авача) - з.Дьяконова;188.59582477754964;0.0;315.0;2922;2008-01-01 00:00:00.000;2015-12-31 00:00:00.000
87;2090;р.Авача - г.Елизово;337.6658493004866;12.0;548.0;4384;2008-01-01 00:00:00.000;2020-12-31 00:00:00.000
88;2091;р.Падь Сырыцин - в 150 м от устья;98.96823379923761;0.0;217.0;3935;2008-01-01 00:00:00.000;2018-11-30 00:00:00.000
89;2092;р.Туамок - в 3.0 км от устья;230.15349428208387;0.0;321.0;3935;2008-01-01 00:00:00.000;2018-11-30 00:00:00.000
90;2094;2094;102.00164203612479;0.0;208.0;1827;2015-01-01 00:00:00.000;2020-12-31 00:00:00.000
