;site_code;site_name;value_amount;lon;lat;name_map
0;20107;Баренцбург;15462;;;Баренцбург (20107) кол-во измерений:15462
1;20674;остров Диксон;17424;80.400003;73.513611;остров Диксон (20674) кол-во измерений:17424
2;20891;Хатанга;17775;102.47;71.98;Хатанга (20891) кол-во измерений:17775
3;20946;им.Е.К.Федорова;14920;59.09111099999999;70.446669;им.Е.К.Федорова (20946) кол-во измерений:14920
4;20967;Сеяха;13503;72.513611;70.170003;Сеяха (20967) кол-во измерений:13503
5;20973;Кресты Таймыр.;15913;89.9;70.87;Кресты Таймыр. (20973) кол-во измерений:15913
6;20978;Караул;17679;83.1667;70.0833;Караул (20978) кол-во измерений:17679
7;20982;Волочанка;17622;;;Волочанка (20982) кол-во измерений:17622
8;21432;о. Котельный;14949;137.8666667;76.0;о. Котельный (21432) кол-во измерений:14949
9;21535;Пролив Санникова;16819;138.89999;74.66666;Пролив Санникова (21535) кол-во измерений:16819
10;21636;Мыс Кигилях;10531;139.8688965;73.33583069;Мыс Кигилях (21636) кол-во измерений:10531
11;21721;Столб(Им.Хабарова);11589;126.35;72.4;Столб(Им.Хабарова) (21721) кол-во измерений:11589
12;21802;Саскылах;16481;114.08;71.97;Саскылах (21802) кол-во измерений:16481
13;21813;Тюмети;12729;123.56667;71.91666;Тюмети (21813) кол-во измерений:12729
14;21824;Тикси,бухта;14668;128.9166667;71.58333333;Тикси,бухта (21824) кол-во измерений:14668
15;21908;Джалинда;16307;113.966667;70.133333;Джалинда (21908) кол-во измерений:16307
16;21921;Кюсюр;13752;127.4;70.68333333;Кюсюр (21921) кол-во измерений:13752
17;21931;Юбилейная;16292;136.2166667;70.76666667;Юбилейная (21931) кол-во измерений:16292
18;21946;Чокурдах;17277;147.896389;70.622222;Чокурдах (21946) кол-во измерений:17277
19;21978;Валькаркай;16737;170.9252778;70.08388889;Валькаркай (21978) кол-во измерений:16737
20;21982;О.Врангеля;17268;181.35;70.98333333;О.Врангеля (21982) кол-во измерений:17268
21;22003;Вайда-Губа;15737;31.98;69.93;Вайда-Губа (22003) кол-во измерений:15737
22;22004;Никель;15951;30.23;69.4;Никель (22004) кол-во измерений:15951
23;22012;Цып-Наволок;15118;33.048935;69.72013000000001;Цып-Наволок (22012) кол-во измерений:15118
24;22018;Ура-Губа;15677;32.8;69.28;Ура-Губа (22018) кол-во измерений:15677
25;22019;Полярное;15552;33.48;69.2;Полярное (22019) кол-во измерений:15552
26;22028;Териберка;15490;35.12;69.2;Териберка (22028) кол-во измерений:15490
27;22100;Верховье р.Лотты;15222;28.9;68.5;Верховье р.Лотты (22100) кол-во измерений:15222
28;22101;Янискоски;12936;28.78;68.97;Янискоски (22101) кол-во измерений:12936
29;22105;Ниванкюль;15740;30.73;68.35;Ниванкюль (22105) кол-во измерений:15740
30;22106;Падун;15826;31.8;68.6;Падун (22106) кол-во измерений:15826
31;22113;Мурманск;17410;33.05;68.97;Мурманск (22113) кол-во измерений:17410
32;22127;Ловозеро;14609;35.03;68.0;Ловозеро (22127) кол-во измерений:14609
33;22140;Святой Нос;14945;39.77;68.15;Святой Нос (22140) кол-во измерений:14945
34;22165;Канин Нос;14161;43.2875;68.655281;Канин Нос (22165) кол-во измерений:14161
35;22193;Бугрино;15217;49.301111;68.780278;Бугрино (22193) кол-во измерений:15217
36;22204;Ковдор;15795;30.45;67.57;Ковдор (22204) кол-во измерений:15795
37;22212;Мончегорск;8063;32.95;67.93;Мончегорск (22212) кол-во измерений:8063
38;22214;Зашеек;15887;32.55;67.4;Зашеек (22214) кол-во измерений:15887
39;22217;Кандалакша;17408;32.35;67.15;Кандалакша (22217) кол-во измерений:17408
40;22235;Краснощелье;15585;37.05;67.35;Краснощелье (22235) кол-во измерений:15585
41;22249;Каневка;15068;39.67;67.13;Каневка (22249) кол-во измерений:15068
42;22271;Шойна;15147;44.174169;67.876667;Шойна (22271) кол-во измерений:15147
43;22292;Индига;13955;48.683611;67.689169;Индига (22292) кол-во измерений:13955
44;22302;Зареченск;15644;31.4;66.7;Зареченск (22302) кол-во измерений:15644
45;22312;Ковда;15403;32.88;66.7;Ковда (22312) кол-во измерений:15403
46;22324;Умба;15612;34.35;66.68;Умба (22324) кол-во измерений:15612
47;22334;Кашкаранцы;12143;36.02;66.33;Кашкаранцы (22334) кол-во измерений:12143
48;22339;Чаваньга;15460;37.75;66.1;Чаваньга (22339) кол-во измерений:15460
49;22349;Пялица;15376;39.53;66.18;Пялица (22349) кол-во измерений:15376
50;22355;Сосновец;14033;;;Сосновец (22355) кол-во измерений:14033
51;22365;Абрамовский Маяк;14290;43.2675;66.408889;Абрамовский Маяк (22365) кол-во измерений:14290
