;site_code;site_name;value_amount;lon;lat;name_map
0;20046;им.Э.Т.Кренкеля;17184;58.058889;80.626389;им.Э.Т.Кренкеля (20046) кол-во измерений:17184
1;20107;Баренцбург;27452;;;Баренцбург (20107) кол-во измерений:27452
2;20674;остров Диксон;29143;80.400003;73.513611;остров Диксон (20674) кол-во измерений:29143
3;20891;Хатанга;30178;102.47;71.98;Хатанга (20891) кол-во измерений:30178
4;20946;им.Е.К.Федорова;18359;59.091111;70.446669;им.Е.К.Федорова (20946) кол-во измерений:18359
5;20967;Сеяха;26555;72.513611;70.170003;Сеяха (20967) кол-во измерений:26555
6;20973;Кресты Таймыр.;17106;89.9;70.87;Кресты Таймыр. (20973) кол-во измерений:17106
7;20978;Караул;18906;83.1667;70.0833;Караул (20978) кол-во измерений:18906
8;20982;Волочанка;27573;;;Волочанка (20982) кол-во измерений:27573
9;21432;о. Котельный;28797;137.8666667;76.0;о. Котельный (21432) кол-во измерений:28797
10;21535;Пролив Санникова;19633;138.89999;74.66666;Пролив Санникова (21535) кол-во измерений:19633
11;21636;Мыс Кигилях;17324;139.8688965;73.33583069;Мыс Кигилях (21636) кол-во измерений:17324
12;21721;Столб(Им.Хабарова);14008;126.34999999999998;72.4;Столб(Им.Хабарова) (21721) кол-во измерений:14008
13;21802;Саскылах;27966;114.08;71.97;Саскылах (21802) кол-во измерений:27966
14;21813;Тюмети;17203;123.56667000000002;71.91666;Тюмети (21813) кол-во измерений:17203
15;21824;Тикси,бухта;26214;128.9166667;71.58333333;Тикси,бухта (21824) кол-во измерений:26214
16;21908;Джалинда;25352;113.966667;70.133333;Джалинда (21908) кол-во измерений:25352
17;21921;Кюсюр;30169;127.4;70.68333333000001;Кюсюр (21921) кол-во измерений:30169
18;21931;Юбилейная;26434;136.2166667;70.76666667;Юбилейная (21931) кол-во измерений:26434
19;21946;Чокурдах;25992;147.896389;70.622222;Чокурдах (21946) кол-во измерений:25992
20;21978;Валькаркай;19460;170.9252778;70.08388889;Валькаркай (21978) кол-во измерений:19460
21;21982;О.Врангеля;32224;181.35;70.98333333;О.Врангеля (21982) кол-во измерений:32224
22;22003;Вайда-Губа;28379;31.98;69.93;Вайда-Губа (22003) кол-во измерений:28379
23;22004;Никель;20093;30.23;69.4;Никель (22004) кол-во измерений:20093
24;22009;Перевал;16448;31.4;69.2;Перевал (22009) кол-во измерений:16448
25;22012;Цып-Наволок;25909;33.048935;69.72013;Цып-Наволок (22012) кол-во измерений:25909
26;22018;Ура-Губа;18500;32.8;69.28;Ура-Губа (22018) кол-во измерений:18500
27;22019;Полярное;26465;33.48;69.2;Полярное (22019) кол-во измерений:26465
28;22028;Териберка;35816;35.12;69.2;Териберка (22028) кол-во измерений:35816
29;22100;Верховье р.Лотты;18547;28.899999999999995;68.5;Верховье р.Лотты (22100) кол-во измерений:18547
30;22101;Янискоски;18107;28.78;68.97;Янискоски (22101) кол-во измерений:18107
31;22105;Ниванкюль;19633;30.729999999999997;68.35;Ниванкюль (22105) кол-во измерений:19633
32;22106;Падун;27793;31.8;68.6;Падун (22106) кол-во измерений:27793
33;22113;Мурманск;28803;33.05;68.97;Мурманск (22113) кол-во измерений:28803
34;22127;Ловозеро;27201;35.03;68.0;Ловозеро (22127) кол-во измерений:27201
35;22140;Святой Нос;33829;39.77;68.15;Святой Нос (22140) кол-во измерений:33829
36;22165;Канин Нос;34705;43.2875;68.655281;Канин Нос (22165) кол-во измерений:34705
37;22193;Бугрино;19635;49.301111;68.780278;Бугрино (22193) кол-во измерений:19635
38;22204;Ковдор;19456;30.45;67.57;Ковдор (22204) кол-во измерений:19456
39;22212;Мончегорск;27327;32.95;67.93;Мончегорск (22212) кол-во измерений:27327
40;22214;Зашеек;27854;32.55;67.4;Зашеек (22214) кол-во измерений:27854
