;site_code;site_name;value_amount;lon;lat;name_map
0;1001;р.Колыма - с.Оротук;3653;148.47632;62.1071;р.Колыма - с.Оротук (1001) кол-во измерений:3653
1;1010;р.Колыма - пос.Усть-Среднекан;4384;152.32601;62.43829;р.Колыма - пос.Усть-Среднекан (1010) кол-во измерений:4384
2;1081;1081;1746;;;1081 (1081) кол-во измерений:1746
3;1101;1101;1138;;;1101 (1101) кол-во измерений:1138
4;1102;1102;2269;;;1102 (1102) кол-во измерений:2269
5;1104;1104;981;;;1104 (1104) кол-во измерений:981
6;1105;1105;999;;;1105 (1105) кол-во измерений:999
7;1107;1107;1031;;;1107 (1107) кол-во измерений:1031
8;1127;1127;1842;;;1127 (1127) кол-во измерений:1842
9;1151;1151;4384;;;1151 (1151) кол-во измерений:4384
10;1176;1176;4242;;;1176 (1176) кол-во измерений:4242
11;1217;1217;2246;;;1217 (1217) кол-во измерений:2246
12;1342;1342;3283;;;1342 (1342) кол-во измерений:3283
13;1368;1368;2986;;;1368 (1368) кол-во измерений:2986
14;1421;р.Погынден - устье р.Инкуливеем;2637;163.95689;68.46947;р.Погынден - устье р.Инкуливеем (1421) кол-во измерений:2637
15;1425;р.Инкуливеем - в 2.0 км от устья;1686;164.06575;68.45451;р.Инкуливеем - в 2.0 км от устья (1425) кол-во измерений:1686
16;1534;1534;4384;;;1534 (1534) кол-во измерений:4384
17;1538;1538;4384;;;1538 (1538) кол-во измерений:4384
18;1556;1556;4384;;;1556 (1556) кол-во измерений:4384
19;1563;1563;4323;;;1563 (1563) кол-во измерений:4323
20;1566;р.Тауй - с.Талон;4384;148.64744;59.76292;р.Тауй - с.Талон (1566) кол-во измерений:4384
21;1576;р.Иска(Большая Иска) - с.Власьево;4384;140.866667;53.416667;р.Иска(Большая Иска) - с.Власьево (1576) кол-во измерений:4384
22;1578;Нелемное;4384;151.07;65.4;Нелемное (1578) кол-во измерений:4384
23;1593;1593;4384;;;1593 (1593) кол-во измерений:4384
24;1596;р.Большой Анюй - ГМС Константиновская;4384;161.167;68.15;р.Большой Анюй - ГМС Константиновская (1596) кол-во измерений:4384
25;1608;1608;4384;;;1608 (1608) кол-во измерений:4384
26;1619;1619;2577;;;1619 (1619) кол-во измерений:2577
27;1625;1625;1008;;;1625 (1625) кол-во измерений:1008
28;1801;р.Колыма - г.Среднеколымск;4384;145.33;63.71;р.Колыма - г.Среднеколымск (1801) кол-во измерений:4384
29;2007;р.Камчатка,Озерная Камчатка -  уроч.Бугры;4384;157.86;54.08;р.Камчатка,Озерная Камчатка -  уроч.Бугры (2007) кол-во измерений:4384
30;2010;р.Камчатка - с.Верчне-Камчатск;4384;158.46;54.61;р.Камчатка - с.Верчне-Камчатск (2010) кол-во измерений:4384
31;2013;р.Камчатка - с.Долиновка;4019;159.06;55.1;р.Камчатка - с.Долиновка (2013) кол-во измерений:4019
32;2014;р.Камчатка - пос.Лазо;4121;159.733333;55.55;р.Камчатка - пос.Лазо (2014) кол-во измерений:4121
33;2017;р.Камчатка - р.п.Козыревск;4384;159.85;56.05;р.Камчатка - р.п.Козыревск (2017) кол-во измерений:4384
34;2021;р.Камчатка - г.Ключи;4203;160.88;56.33;р.Камчатка - г.Ключи (2021) кол-во измерений:4203
35;2026;р.Правая Камчатка - уроч.Бугры;4384;157.86;54.08;р.Правая Камчатка - уроч.Бугры (2026) кол-во измерений:4384
36;2027;р.Берш - с.Пущино;4384;157.96;54.16;р.Берш - с.Пущино (2027) кол-во измерений:4384
37;2030;р.Кунч - в 5.4км от устья;2557;157.75315;54.28108;р.Кунч - в 5.4км от устья (2030) кол-во измерений:2557
38;2032;р.Машихинская - в 14.6км от устья;1253;157.967;54.167;р.Машихинская - в 14.6км от устья (2032) кол-во измерений:1253
39;2034;р.Андриановка - с.Верхне-Камчатск;4384;158.46;54.63;р.Андриановка - с.Верхне-Камчатск (2034) кол-во измерений:4384
40;2040;р.Кирганик - с.Кирганик;4384;158.73;54.8;р.Кирганик - с.Кирганик (2040) кол-во измерений:4384
41;2043;р.Долиновка - с.Долиновка;4384;159.066667;55.116667;р.Долиновка - с.Долиновка (2043) кол-во измерений:4384
42;2048;р.Толбачик - с.Толбачик;4384;159.966667;55.55;р.Толбачик - с.Толбачик (2048) кол-во измерений:4384
43;2057;р.Быстрая - с.Эссо;4072;158.71;55.93;р.Быстрая - с.Эссо (2057) кол-во измерений:4072
44;2058;р.Уксичан - с.Эссо;4384;158.7;55.91;р.Уксичан - с.Эссо (2058) кол-во измерений:4384
45;2062;р.Анавгай - с.Анавгай;4384;158.933333;56.066667;р.Анавгай - с.Анавгай (2062) кол-во измерений:4384
46;2087;р.Авача(Средняя Авача) - з.Дьяконова;2922;158.15463;53.50695;р.Авача(Средняя Авача) - з.Дьяконова (2087) кол-во измерений:2922
47;2090;р.Авача - г.Елизово;4384;158.4;53.18;р.Авача - г.Елизово (2090) кол-во измерений:4384
48;2091;р.Падь Сырыцин - в 150 м от устья;3935;158.10555;53.68184;р.Падь Сырыцин - в 150 м от устья (2091) кол-во измерений:3935
