;site_code;site_name;value_amount;lon;lat;name_map
0;1001;р.Колыма - с.Оротук;4367;148.47632;62.107099999999996;р.Колыма - с.Оротук (1001) кол-во измерений:4367
1;1005;1005;4384;;;1005 (1005) кол-во измерений:4384
2;1007;1007;3824;;;1007 (1007) кол-во измерений:3824
3;1010;р.Колыма - пос.Усть-Среднекан;4384;152.32601;62.43829;р.Колыма - пос.Усть-Среднекан (1010) кол-во измерений:4384
4;1012;1012;4021;;;1012 (1012) кол-во измерений:4021
5;1015;р.Колыма - с.Балыгычан;4013;154.1;63.917;р.Колыма - с.Балыгычан (1015) кол-во измерений:4013
6;1016;р.Колыма - ГМС Коркодон;3962;153.967;64.75;р.Колыма - ГМС Коркодон (1016) кол-во измерений:3962
7;1018;р.Колыма - пос.Зырянка;4383;150.83;65.72;р.Колыма - пос.Зырянка (1018) кол-во измерений:4383
8;1053;р.Берелех - г.Сусуман;2238;148.14463;62.77725;р.Берелех - г.Сусуман (1053) кол-во измерений:2238
9;1081;1081;1746;;;1081 (1081) кол-во измерений:1746
10;1095;р.Кулу - с.Кулу;4006;147.439;61.882;р.Кулу - с.Кулу (1095) кол-во измерений:4006
11;1101;1101;1138;;;1101 (1101) кол-во измерений:1138
12;1102;1102;2221;;;1102 (1102) кол-во измерений:2221
13;1103;1103;121;;;1103 (1103) кол-во измерений:121
14;1104;1104;948;;;1104 (1104) кол-во измерений:948
15;1105;1105;999;;;1105 (1105) кол-во измерений:999
16;1107;1107;1031;;;1107 (1107) кол-во измерений:1031
17;1127;1127;1842;;;1127 (1127) кол-во измерений:1842
18;1151;1151;4384;;;1151 (1151) кол-во измерений:4384
19;1176;1176;4381;;;1176 (1176) кол-во измерений:4381
20;1217;1217;2048;;;1217 (1217) кол-во измерений:2048
21;1229;1229;3658;;;1229 (1229) кол-во измерений:3658
22;1342;1342;3284;;;1342 (1342) кол-во измерений:3284
23;1367;Березовка;4151;156.55;67.18;Березовка (1367) кол-во измерений:4151
24;1368;1368;2362;;;1368 (1368) кол-во измерений:2362
25;1369;1369;1068;;;1369 (1369) кол-во измерений:1068
26;1396;р.Малый Анюй - с.Илирней;1679;167.96699999999998;67.25;р.Малый Анюй - с.Илирней (1396) кол-во измерений:1679
