;site_code;site_name;value_mean;value_min;value_max;value_amount;date_loc_min;date_loc_max
0;20107;Баренцбург;0.9943862372267495;0.0;8.2;15462;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
1;20674;остров Диксон;0.44995982552800734;0.0;12.2;17424;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
2;20891;Хатанга;1.3525794655414907;0.0;23.9;17775;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
3;20946;им.Е.К.Федорова;0.6190951742627345;0.0;9.4;14920;1967-01-01 00:00:00.000;2014-07-31 00:00:00.000
4;20967;Сеяха;0.656928090054062;0.0;12.6;13503;1977-01-01 00:00:00.000;2014-08-31 00:00:00.000
5;20973;Кресты Таймыр.;1.1215798403820776;0.0;21.0;15913;1966-01-01 00:00:00.000;2014-06-30 00:00:00.000
6;20978;Караул;1.143266021833814;0.0;19.0;17679;1966-01-01 00:00:00.000;2014-07-31 00:00:00.000
7;20982;Волочанка;1.3771592327772102;0.0;18.9;17622;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
8;21432;о. Котельный;0.37640644859187905;0.0;7.4;14949;1966-01-01 00:00:00.000;2014-07-31 00:00:00.000
9;21535;Пролив Санникова;0.32499554075747666;0.0;4.5;16819;1966-02-01 00:00:00.000;2014-07-31 00:00:00.000
10;21636;Мыс Кигилях;0.4220112050137689;0.0;6.2;10531;1985-01-01 00:00:00.000;2014-07-31 00:00:00.000
11;21721;Столб(Им.Хабарова);0.8965398222452325;0.0;18.6;11589;1981-01-01 00:00:00.000;2014-07-31 00:00:00.000
12;21802;Саскылах;1.2148716704083489;0.0;25.5;16481;1966-01-01 00:00:00.000;2014-07-31 00:00:00.000
13;21813;Тюмети;1.2972975096236938;0.0;24.0;12729;1977-01-01 00:00:00.000;2014-07-31 00:00:00.000
14;21824;Тикси,бухта;0.8510430869920916;0.0;20.2;14668;1966-05-02 00:00:00.000;2014-07-31 00:00:00.000
15;21908;Джалинда;1.9456675047525602;0.0;28.3;16307;1966-01-01 00:00:00.000;2014-07-31 00:00:00.000
16;21921;Кюсюр;1.6088568935427574;0.0;21.0;13752;1975-01-01 00:00:00.000;2014-07-31 00:00:00.000
17;21931;Юбилейная;1.3382519027743678;0.0;25.7;16292;1966-01-01 00:00:00.000;2014-07-31 00:00:00.000
18;21946;Чокурдах;1.082965792672339;0.0;23.9;17277;1966-01-01 00:00:00.000;2013-04-30 00:00:00.000
19;21978;Валькаркай;0.620439744279142;0.0;20.5;16737;1966-03-19 00:00:00.000;2014-01-31 00:00:00.000
20;21982;О.Врангеля;0.5433113273106324;0.0;6.2;17268;1966-01-01 00:00:00.000;2014-01-31 00:00:00.000
21;22003;Вайда-Губа;1.4631696003050139;0.0;16.2;15737;1966-01-01 00:00:00.000;2014-07-31 00:00:00.000
22;22004;Никель;2.1610870791799885;0.0;23.5;15951;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
23;22012;Цып-Наволок;1.1686863341711866;0.0;14.6;15118;1966-07-01 00:00:00.000;2014-03-31 00:00:00.000
24;22018;Ура-Губа;1.737067040887925;0.0;20.1;15677;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
25;22019;Полярное;1.7251543209876543;0.0;21.7;15552;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
26;22028;Териберка;1.7304002582311169;0.0;31.1;15490;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
27;22100;Верховье р.Лотты;2.12163973196689;0.0;21.3;15222;1966-01-01 00:00:00.000;2013-06-30 00:00:00.000
28;22101;Янискоски;1.8986626468769325;0.0;17.7;12936;1977-05-01 00:00:00.000;2013-06-30 00:00:00.000
29;22105;Ниванкюль;1.9143837357052098;0.0;21.1;15740;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
30;22106;Падун;2.034948818400101;0.0;19.6;15826;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
31;22113;Мурманск;1.9863296955772545;0.0;24.0;17410;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
32;22127;Ловозеро;1.7992881100691354;0.0;19.2;14609;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
33;22140;Святой Нос;1.0640816326530613;0.0;16.2;14945;1966-01-01 00:00:00.000;2014-04-30 00:00:00.000
34;22165;Канин Нос;0.9125344255349198;0.0;15.6;14161;1974-01-01 00:00:00.000;2014-05-31 00:00:00.000
35;22193;Бугрино;0.7429453900243149;0.0;5.6;15217;1973-01-01 00:00:00.000;2014-08-31 00:00:00.000
36;22204;Ковдор;2.0812092434314655;0.0;20.6;15795;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
37;22212;Мончегорск;2.0504154781098847;0.0;20.8;8063;1991-01-01 00:00:00.000;2014-08-31 00:00:00.000
38;22214;Зашеек;1.9206332221313023;0.0;18.2;15887;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
