;site_code;site_name;value_mean;value_min;value_max;value_amount;date_loc_min;date_loc_max
0;20046;им.Э.Т.Кренкеля;-10.207792132216015;-41.2;10.3;17184;1958-01-01 00:00:00.000;2015-07-31 00:00:00.000
1;20107;Баренцбург;-2.431760891738307;-34.8;20.3;27452;1932-01-11 00:00:00.000;2015-12-31 00:00:00.000
2;20674;остров Диксон;-8.04399684315273;-44.1;26.9;29143;1936-01-01 00:00:00.000;2015-12-31 00:00:00.000
3;20891;Хатанга;-8.2544204387302;-56.3;36.7;30178;1929-04-01 00:00:00.000;2015-12-31 00:00:00.000
4;20946;им.Е.К.Федорова;-3.1826787951413475;-37.1;27.0;18359;1959-07-01 00:00:00.000;2015-09-30 00:00:00.000
5;20967;Сеяха;-5.7884993409903975;-45.4;31.5;26555;1936-10-01 00:00:00.000;2015-12-31 00:00:00.000
6;20973;Кресты Таймыр.;-7.910031567870923;-50.3;34.1;17106;1964-01-01 00:00:00.000;2015-12-31 00:00:00.000
7;20978;Караул;-6.014926478366656;-48.2;31.0;18906;1964-01-01 00:00:00.000;2015-12-31 00:00:00.000
8;20982;Волочанка;-6.603488920320603;-53.7;35.6;27573;1936-01-01 00:00:00.000;2015-12-31 00:00:00.000
9;21432;о. Котельный;-11.358669305830468;-44.6;25.1;28797;1936-02-27 00:00:00.000;2015-10-31 00:00:00.000
10;21535;Пролив Санникова;-11.926277186369887;-42.9;19.4;19633;1959-07-01 00:00:00.000;2015-10-31 00:00:00.000
11;21636;Мыс Кигилях;-11.257544447009929;-43.4;22.4;17324;1959-07-01 00:00:00.000;2015-10-31 00:00:00.000
12;21721;Столб(Им.Хабарова);-9.024892918332382;-46.7;31.9;14008;1959-07-01 00:00:00.000;2015-10-31 00:00:00.000
13;21802;Саскылах;-9.77100407637846;-58.3;35.6;27966;1936-01-01 00:00:00.000;2015-11-30 00:00:00.000
14;21813;Тюмети;-9.720548741498575;-56.0;47.0;17203;1965-01-01 00:00:00.000;2015-10-31 00:00:00.000
15;21824;Тикси,бухта;-9.154398413061722;-45.7;34.3;26214;1936-01-01 00:00:00.000;2015-10-31 00:00:00.000
16;21908;Джалинда;-7.651159671820764;-61.1;34.4;25352;1942-02-20 00:00:00.000;2015-11-30 00:00:00.000
17;21921;Кюсюр;-9.127720507806027;-57.3;43.0;30169;1910-01-03 00:00:00.000;2015-10-31 00:00:00.000
18;21931;Юбилейная;-7.796943330559128;-50.1;35.3;26434;1936-02-01 00:00:00.000;2015-10-31 00:00:00.000
19;21946;Чокурдах;-9.676100338565712;-49.7;31.6;25992;1944-08-01 00:00:00.000;2015-11-30 00:00:00.000
20;21978;Валькаркай;-8.124537512846866;-43.2;31.0;19460;1959-07-01 00:00:00.000;2015-10-31 00:00:00.000
21;21982;О.Врангеля;-7.84768185203575;-41.3;18.2;32224;1926-10-01 00:00:00.000;2015-07-31 00:00:00.000
22;22003;Вайда-Губа;4.2468550688889675;-20.6;32.4;28379;1914-01-01 00:00:00.000;2014-11-30 00:00:00.000
23;22004;Никель;3.801731946449012;-35.5;33.5;20093;1959-01-01 00:00:00.000;2014-12-31 00:00:00.000
24;22009;Перевал;2.0661721789883267;-27.6;30.9;16448;1956-09-02 00:00:00.000;2014-12-31 00:00:00.000
25;22012;Цып-Наволок;3.9414527770272882;-23.1;30.0;25909;1936-01-08 00:00:00.000;2014-03-31 00:00:00.000
