;site_code;site_name;value_mean;value_min;value_max;value_amount;date_loc_min;date_loc_max
0;20107;Баренцбург;78.82259733540292;39.0;100.0;15462;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
1;20674;остров Диксон;86.78569788797061;47.0;100.0;17424;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
2;20891;Хатанга;77.7109423347398;30.0;100.0;17775;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
3;20946;им.Е.К.Федорова;86.04021447721179;51.0;100.0;14920;1967-01-01 00:00:00.000;2014-07-31 00:00:00.000
4;20967;Сеяха;85.36910316226025;49.0;100.0;13503;1977-01-01 00:00:00.000;2014-08-31 00:00:00.000
5;20973;Кресты Таймыр.;78.61408910953308;33.0;100.0;15913;1966-01-01 00:00:00.000;2014-06-30 00:00:00.000
6;20978;Караул;79.89399852932858;39.0;100.0;17679;1966-01-01 00:00:00.000;2014-07-31 00:00:00.000
7;20982;Волочанка;77.33191465213937;36.0;100.0;17622;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
8;21432;о. Котельный;85.91992775436483;48.0;100.0;14949;1966-01-01 00:00:00.000;2014-07-31 00:00:00.000
9;21535;Пролив Санникова;87.58118794220822;55.0;100.0;16819;1966-02-01 00:00:00.000;2014-07-31 00:00:00.000
10;21636;Мыс Кигилях;87.9120691292375;57.0;100.0;10531;1985-01-01 00:00:00.000;2014-07-31 00:00:00.000
11;21721;Столб(Им.Хабарова);80.54793338510656;38.0;100.0;11589;1981-01-01 00:00:00.000;2014-07-31 00:00:00.000
12;21802;Саскылах;76.94818495848736;33.0;100.0;16501;1966-01-01 00:00:00.000;2014-07-31 00:00:00.000
13;21813;Тюмети;75.59415507895358;36.0;100.0;12729;1977-01-01 00:00:00.000;2014-07-31 00:00:00.000
14;21824;Тикси,бухта;82.53879192800655;32.0;100.0;14668;1966-05-02 00:00:00.000;2014-07-31 00:00:00.000
15;21908;Джалинда;71.94621941497516;24.0;99.0;16307;1966-01-01 00:00:00.000;2014-07-31 00:00:00.000
16;21921;Кюсюр;73.86147469458987;0.0;99.0;13752;1975-01-01 00:00:00.000;2014-07-31 00:00:00.000
17;21931;Юбилейная;77.17505524183649;32.0;100.0;16292;1966-01-01 00:00:00.000;2014-07-31 00:00:00.000
18;21946;Чокурдах;80.97690571279736;22.0;100.0;17277;1966-01-01 00:00:00.000;2013-04-30 00:00:00.000
19;21978;Валькаркай;85.3370974487662;35.0;100.0;16737;1966-03-19 00:00:00.000;2014-01-31 00:00:00.000
20;21982;О.Врангеля;83.01036599490386;42.0;100.0;17268;1966-01-01 00:00:00.000;2014-01-31 00:00:00.000
21;22003;Вайда-Губа;82.32325093728157;35.0;100.0;15737;1966-01-01 00:00:00.000;2014-07-31 00:00:00.000
22;22004;Никель;77.09027647169457;25.0;100.0;15951;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
23;22012;Цып-Наволок;84.05381818181819;38.0;100.0;15125;1966-07-01 00:00:00.000;2014-03-31 00:00:00.000
24;22018;Ура-Губа;80.14141736301589;29.0;100.0;15677;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
25;22019;Полярное;80.7735982510288;28.0;100.0;15552;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
26;22028;Териберка;79.51597701891421;22.0;100.0;15491;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
27;22100;Верховье р.Лотты;78.31828931809224;29.0;100.0;15222;1966-01-01 00:00:00.000;2013-06-30 00:00:00.000
28;22101;Янискоски;80.51607915893631;33.0;100.0;12936;1977-05-01 00:00:00.000;2013-06-30 00:00:00.000
29;22105;Ниванкюль;79.5489834815756;30.0;100.0;15740;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
30;22106;Падун;79.0450524453431;30.0;100.0;15826;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
31;22113;Мурманск;78.97828834003447;29.0;100.0;17410;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
32;22127;Ловозеро;80.59682387569306;34.0;100.0;14609;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
33;22140;Святой Нос;86.07019069923051;36.0;100.0;14945;1966-01-01 00:00:00.000;2014-04-30 00:00:00.000
34;22165;Канин Нос;87.10804321728692;33.0;100.0;14161;1974-01-01 00:00:00.000;2014-05-31 00:00:00.000
35;22193;Бугрино;87.58178353157652;56.0;100.0;15217;1973-01-01 00:00:00.000;2014-08-31 00:00:00.000
36;22204;Ковдор;78.35574548907883;26.0;100.0;15795;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
37;22212;Мончегорск;79.64541733845964;29.0;100.0;8063;1991-01-01 00:00:00.000;2014-08-31 00:00:00.000
38;22214;Зашеек;80.34946811858752;27.0;101.0;15887;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
39;22217;Кандалакша;80.26252297794117;22.0;100.0;17408;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
40;22235;Краснощелье;81.86513537790324;33.0;100.0;15586;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
41;22249;Каневка;82.69332359968145;37.0;100.0;15068;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
42;22271;Шойна;85.29887106357694;47.0;100.0;15147;1968-02-01 00:00:00.000;2014-08-31 00:00:00.000
43;22292;Индига;84.62744536008599;42.0;100.0;13955;1974-01-01 00:00:00.000;2014-07-31 00:00:00.000
44;22302;Зареченск;78.01738685758119;29.0;100.0;15644;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
45;22312;Ковда;81.71371072448714;36.0;100.0;15404;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
46;22324;Умба;80.92678708685627;0.0;100.0;15612;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
47;22334;Кашкаранцы;83.27744379477889;39.0;100.0;12143;1979-01-01 00:00:00.000;2013-06-30 00:00:00.000
48;22339;Чаваньга;85.03046571798188;42.0;100.0;15460;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
49;22349;Пялица;85.55781737773152;46.0;100.0;15376;1966-01-01 00:00:00.000;2014-08-31 00:00:00.000
50;22355;Сосновец;87.25810589325162;47.0;100.0;14033;1973-01-01 00:00:00.000;2014-07-31 00:00:00.000
51;22365;Абрамовский Маяк;84.61195074167367;40.0;100.0;14292;1973-01-01 00:00:00.000;2014-08-31 00:00:00.000
