;site_code;site_name;value_amount;lon;lat;name_map
0;20046;им.Э.Т.Кренкеля;17180;58.058889;80.626389;им.Э.Т.Кренкеля (20046) кол-во измерений:17180
1;20107;Баренцбург;27452;;;Баренцбург (20107) кол-во измерений:27452
2;20674;остров Диксон;29138;80.400003;73.51361099999998;остров Диксон (20674) кол-во измерений:29138
3;20891;Хатанга;30196;102.47;71.98;Хатанга (20891) кол-во измерений:30196
4;20946;им.Е.К.Федорова;18349;59.091111;70.446669;им.Е.К.Федорова (20946) кол-во измерений:18349
5;20967;Сеяха;27036;72.513611;70.170003;Сеяха (20967) кол-во измерений:27036
6;20973;Кресты Таймыр.;17331;89.9;70.87;Кресты Таймыр. (20973) кол-во измерений:17331
7;20978;Караул;18919;83.1667;70.0833;Караул (20978) кол-во измерений:18919
8;20982;Волочанка;27769;;;Волочанка (20982) кол-во измерений:27769
9;21432;о. Котельный;28992;137.8666667;76.0;о. Котельный (21432) кол-во измерений:28992
10;21535;Пролив Санникова;19629;138.89999;74.66666;Пролив Санникова (21535) кол-во измерений:19629
11;21636;Мыс Кигилях;17321;139.8688965;73.33583069;Мыс Кигилях (21636) кол-во измерений:17321
12;21721;Столб(Им.Хабарова);14015;126.35;72.4;Столб(Им.Хабарова) (21721) кол-во измерений:14015
13;21802;Саскылах;27771;114.08000000000001;71.97;Саскылах (21802) кол-во измерений:27771
14;21813;Тюмети;17177;123.56667000000002;71.91666;Тюмети (21813) кол-во измерений:17177
15;21824;Тикси,бухта;26230;128.9166667;71.58333333;Тикси,бухта (21824) кол-во измерений:26230
16;21908;Джалинда;25568;113.966667;70.133333;Джалинда (21908) кол-во измерений:25568
17;21921;Кюсюр;33369;127.40000000000002;70.68333333;Кюсюр (21921) кол-во измерений:33369
18;21931;Юбилейная;27980;136.2166667;70.76666667;Юбилейная (21931) кол-во измерений:27980
19;21946;Чокурдах;25953;147.896389;70.622222;Чокурдах (21946) кол-во измерений:25953
20;21978;Валькаркай;19462;170.9252778;70.08388889;Валькаркай (21978) кол-во измерений:19462
21;21982;О.Врангеля;32204;181.35;70.98333333;О.Врангеля (21982) кол-во измерений:32204
22;22003;Вайда-Губа;36100;31.98;69.93;Вайда-Губа (22003) кол-во измерений:36100
23;22004;Никель;20066;30.230000000000004;69.4;Никель (22004) кол-во измерений:20066
24;22009;Перевал;16407;31.4;69.2;Перевал (22009) кол-во измерений:16407
25;22012;Цып-Наволок;25643;33.048935;69.72013;Цып-Наволок (22012) кол-во измерений:25643
26;22018;Ура-Губа;18184;32.8;69.28;Ура-Губа (22018) кол-во измерений:18184
27;22019;Полярное;26109;33.48;69.2;Полярное (22019) кол-во измерений:26109
28;22028;Териберка;41958;35.12;69.2;Териберка (22028) кол-во измерений:41958
29;22100;Верховье р.Лотты;18470;28.9;68.5;Верховье р.Лотты (22100) кол-во измерений:18470
30;22101;Янискоски;18086;28.78;68.97;Янискоски (22101) кол-во измерений:18086
31;22105;Ниванкюль;19705;30.73;68.35;Ниванкюль (22105) кол-во измерений:19705
32;22106;Падун;27625;31.8;68.6;Падун (22106) кол-во измерений:27625
33;22113;Мурманск;28807;33.05;68.97;Мурманск (22113) кол-во измерений:28807
34;22127;Ловозеро;27512;35.03;68.0;Ловозеро (22127) кол-во измерений:27512
35;22140;Святой Нос;40021;39.77;68.15;Святой Нос (22140) кол-во измерений:40021
