;site_code;site_name;value_amount;lon;lat;name_map
0;20046;им.Э.Т.Кренкеля;17600;58.058889;80.626389;им.Э.Т.Кренкеля (20046) кол-во измерений:17600
1;20107;Баренцбург;27515;;;Баренцбург (20107) кол-во измерений:27515
2;20674;остров Диксон;29159;80.400003;73.513611;остров Диксон (20674) кол-во измерений:29159
3;20891;Хатанга;30101;102.46999999999998;71.98;Хатанга (20891) кол-во измерений:30101
4;20946;им.Е.К.Федорова;18461;59.091111;70.446669;им.Е.К.Федорова (20946) кол-во измерений:18461
5;20967;Сеяха;26000;72.513611;70.170003;Сеяха (20967) кол-во измерений:26000
6;20973;Кресты Таймыр.;17281;89.9;70.87;Кресты Таймыр. (20973) кол-во измерений:17281
7;20978;Караул;18910;83.1667;70.0833;Караул (20978) кол-во измерений:18910
8;20982;Волочанка;27773;;;Волочанка (20982) кол-во измерений:27773
9;21432;о. Котельный;28999;137.8666667;76.0;о. Котельный (21432) кол-во измерений:28999
10;21535;Пролив Санникова;19628;138.89999;74.66666;Пролив Санникова (21535) кол-во измерений:19628
11;21636;Мыс Кигилях;17329;139.8688965;73.33583069;Мыс Кигилях (21636) кол-во измерений:17329
12;21721;Столб(Им.Хабарова);14024;126.35;72.4;Столб(Им.Хабарова) (21721) кол-во измерений:14024
13;21802;Саскылах;27912;114.08;71.97;Саскылах (21802) кол-во измерений:27912
14;21813;Тюмети;17208;123.56667000000002;71.91666;Тюмети (21813) кол-во измерений:17208
15;21824;Тикси,бухта;26220;128.9166667;71.58333333;Тикси,бухта (21824) кол-во измерений:26220
16;21908;Джалинда;25588;113.96666699999999;70.133333;Джалинда (21908) кол-во измерений:25588
17;21921;Кюсюр;34727;127.39999999999999;70.68333333;Кюсюр (21921) кол-во измерений:34727
18;21931;Юбилейная;27765;136.2166667;70.76666667;Юбилейная (21931) кол-во измерений:27765
19;21946;Чокурдах;25969;147.896389;70.622222;Чокурдах (21946) кол-во измерений:25969
20;21978;Валькаркай;19482;170.9252778;70.08388889;Валькаркай (21978) кол-во измерений:19482
21;21982;О.Врангеля;32258;181.35;70.98333333;О.Врангеля (21982) кол-во измерений:32258
22;22003;Вайда-Губа;36457;31.980000000000004;69.93;Вайда-Губа (22003) кол-во измерений:36457
23;22004;Никель;20231;30.23;69.4;Никель (22004) кол-во измерений:20231
24;22009;Перевал;16664;31.4;69.2;Перевал (22009) кол-во измерений:16664
25;22012;Цып-Наволок;27199;33.048935;69.72013;Цып-Наволок (22012) кол-во измерений:27199
26;22018;Ура-Губа;19639;32.8;69.28;Ура-Губа (22018) кол-во измерений:19639
27;22019;Полярное;27522;33.48;69.2;Полярное (22019) кол-во измерений:27522
28;22028;Териберка;42648;35.12;69.2;Териберка (22028) кол-во измерений:42648
29;22100;Верховье р.Лотты;18646;28.900000000000002;68.5;Верховье р.Лотты (22100) кол-во измерений:18646
30;22101;Янискоски;18226;28.78;68.97;Янискоски (22101) кол-во измерений:18226
31;22105;Ниванкюль;19709;30.730000000000004;68.35;Ниванкюль (22105) кол-во измерений:19709
32;22106;Падун;27821;31.8;68.6;Падун (22106) кол-во измерений:27821
33;22113;Мурманск;28824;33.05;68.97;Мурманск (22113) кол-во измерений:28824
34;22127;Ловозеро;27593;35.03;68.0;Ловозеро (22127) кол-во измерений:27593
35;22140;Святой Нос;41477;39.77;68.15;Святой Нос (22140) кол-во измерений:41477
36;22165;Канин Нос;34108;43.2875;68.655281;Канин Нос (22165) кол-во измерений:34108
37;22193;Бугрино;20022;49.301111;68.780278;Бугрино (22193) кол-во измерений:20022
38;22204;Ковдор;19671;30.45;67.57;Ковдор (22204) кол-во измерений:19671
39;22212;Мончегорск;27404;32.95;67.93;Мончегорск (22212) кол-во измерений:27404
40;22214;Зашеек;28212;32.55;67.4;Зашеек (22214) кол-во измерений:28212
41;22217;Кандалакша;37222;32.35;67.15;Кандалакша (22217) кол-во измерений:37222
42;22235;Краснощелье;29659;37.05;67.35;Краснощелье (22235) кол-во измерений:29659
43;22249;Каневка;19267;39.67;67.13;Каневка (22249) кол-во измерений:19267
44;22271;Шойна;20532;44.174169;67.876667;Шойна (22271) кол-во измерений:20532
45;22292;Индига;32473;48.683611;67.689169;Индига (22292) кол-во измерений:32473
46;22302;Зареченск;18107;31.399999999999995;66.7;Зареченск (22302) кол-во измерений:18107
47;22312;Ковда;27931;32.88;66.7;Ковда (22312) кол-во измерений:27931
48;22324;Умба;27476;34.35;66.68;Умба (22324) кол-во измерений:27476
49;22334;Кашкаранцы;18748;36.02;66.33;Кашкаранцы (22334) кол-во измерений:18748
50;22339;Чаваньга;19527;37.75;66.1;Чаваньга (22339) кол-во измерений:19527
51;22349;Пялица;27638;39.53000000000001;66.18;Пялица (22349) кол-во измерений:27638
52;22355;Сосновец;41590;;;Сосновец (22355) кол-во измерений:41590
53;22365;Абрамовский Маяк;19286;43.2675;66.408889;Абрамовский Маяк (22365) кол-во измерений:19286
54;22375;Несь;19989;44.695;66.607222;Несь (22375) кол-во измерений:19989
55;22383;Нижняя Пеша;25600;47.77;66.75;Нижняя Пеша (22383) кол-во измерений:25600
56;22408;Калевала;26951;31.149999999999995;65.22;Калевала (22408) кол-во измерений:26951
57;22413;Энгозеро;17891;33.941083;65.790139;Энгозеро (22413) кол-во измерений:17891
58;22422;Гридино;26601;34.759722;65.898611;Гридино (22422) кол-во измерений:26601
59;22429;Соловки;27948;35.695833;65.031389;Соловки (22429) кол-во измерений:27948
60;22456;Кепино;19543;41.881111;65.3825;Кепино (22456) кол-во измерений:19543
61;22471;Мезень;17896;44.22;65.87;Мезень (22471) кол-во измерений:17896
62;22481;Мосеево;20052;46.2;65.77;Мосеево (22481) кол-во измерений:20052
63;22511;Юшкозеро;20423;32.12;64.75;Юшкозеро (22511) кол-во измерений:20423
64;22525;Разнаволок;27853;34.91;64.56;Разнаволок (22525) кол-во измерений:27853
65;22529;Колежма;26337;35.867917;64.238722;Колежма (22529) кол-во измерений:26337
66;22541;Унский Маяк;27700;38.363889;64.844722;Унский Маяк (22541) кол-во измерений:27700
67;22546;Северодвинск;20082;39.765558;64.555278;Северодвинск (22546) кол-во измерений:20082
68;22550;Архангельск;48704;40.727778;64.5;Архангельск (22550) кол-во измерений:48704
69;22551;Мудьюг остров;20069;40.280281;64.853056;Мудьюг остров (22551) кол-во измерений:20069
70;22559;Холмогоры;20419;41.646667;64.223889;Холмогоры (22559) кол-во измерений:20419
71;22563;Пинега;28252;43.38;64.7;Пинега (22563) кол-во измерений:28252
72;22573;Лешуконское;19843;45.77;64.9;Лешуконское (22573) кол-во измерений:19843
73;22583;Койнас;36950;47.65;64.75;Койнас (22583) кол-во измерений:36950
74;22602;Реболы;26932;30.82;63.830000000000005;Реболы (22602) кол-во измерений:26932
75;22619;Паданы;17883;;;Паданы (22619) кол-во измерений:17883
76;22621;Сегежа;17873;34.28;63.769999999999996;Сегежа (22621) кол-во измерений:17873
77;22638;Калгачиха;19407;36.710003;63.32694699999999;Калгачиха (22638) кол-во измерений:19407
78;22641;Онега;28854;38.108611;63.90666699999999;Онега (22641) кол-во измерений:28854
79;22648;Турчасово;19796;39.236944;63.11083300000001;Турчасово (22648) кол-во измерений:19796
80;22656;Емецк;20436;41.795833;63.480000000000004;Емецк (22656) кол-во измерений:20436
81;22671;Карпогоры;19924;44.449447;64.010556;Карпогоры (22671) кол-во измерений:19924
82;22676;Сура;20452;45.623336;63.578889;Сура (22676) кол-во измерений:20452
83;22686;Вендинга;28805;47.92;63.442778;Вендинга (22686) кол-во измерений:28805
84;22695;Кослан;19821;48.92;63.449999999999996;Кослан (22695) кол-во измерений:19821
85;22707;Вяртсиля;25511;30.68;62.18;Вяртсиля (22707) кол-во измерений:25511
86;22721;Медвежьегорск;27429;34.43;62.919999999999995;Медвежьегорск (22721) кол-во измерений:27429
87;22727;Кондопога;27244;34.3;62.17;Кондопога (22727) кол-во измерений:27244
88;22749;Конево;19697;39.291111;62.104444;Конево (22749) кол-во измерений:19697
89;22762;Двинской Березник;20642;42.791944;62.828333;Двинской Березник (22762) кол-во измерений:20642
90;22768;Шенкурск;45439;42.890278;62.114166999999995;Шенкурск (22768) кол-во измерений:45439
91;22778;Верхняя Тойма;20452;45.03;62.23;Верхняя Тойма (22778) кол-во измерений:20452
92;22781;Окуловская;20099;46.6;62.89999999999999;Окуловская (22781) кол-во измерений:20099
93;22798;Яренск;28411;49.109444;62.171558;Яренск (22798) кол-во измерений:28411
94;22802;Сортавала;25545;30.720000000000002;61.72;Сортавала (22802) кол-во измерений:25545
95;22805;Валаам;37164;30.880000000000003;61.36999999999999;Валаам (22805) кол-во измерений:37164
96;22806;Лесогорский;20157;28.93;61.03;Лесогорский (22806) кол-во измерений:20157
97;22820;Петрозаводск;27790;34.27;61.82;Петрозаводск (22820) кол-во измерений:27790
98;22831;Пудож;28059;36.58;61.82000000000001;Пудож (22831) кол-во измерений:28059
99;22837;Вытегра;46264;36.455556;61.016944;Вытегра (22837) кол-во измерений:46264
100;22845;Каргополь;48026;38.93;61.5;Каргополь (22845) кол-во измерений:48026
101;22854;Няндома;20265;40.195278;61.67000300000001;Няндома (22854) кол-во измерений:20265
102;22867;Вельск;28068;42.069444;61.069306;Вельск (22867) кол-во измерений:28068
103;22869;Шангалы;20362;43.35;61.13;Шангалы (22869) кол-во измерений:20362
104;22876;Красноборск;19143;45.938611;61.549167;Красноборск (22876) кол-во измерений:19143
105;22887;Котлас;28855;46.71999999999999;61.23;Котлас (22887) кол-во измерений:28855
106;22889;Вилегодское;19401;47.993892;61.104167;Вилегодское (22889) кол-во измерений:19401
107;22892;Лух;25563;42.26;57.01;Лух (22892) кол-во измерений:25563
108;22912;Олонец;27764;32.98;60.98;Олонец (22912) кол-во измерений:27764
109;22913;Лодейное поле;20233;33.55;60.72;Лодейное поле (22913) кол-во измерений:20233
110;22917;Новая Ладога;20212;32.32;60.12;Новая Ладога (22917) кол-во измерений:20212
111;22925;Винницы;17896;34.78;60.629999999999995;Винницы (22925) кол-во измерений:17896
112;22939;Белозерск;20014;37.759167;60.020278;Белозерск (22939) кол-во измерений:20014
113;22944;Чарозеро;20048;38.62;60.470000000000006;Чарозеро (22944) кол-во измерений:20048
114;22951;Коноша;19936;40.27;60.980000000000004;Коноша (22951) кол-во измерений:19936
115;22954;Вожега;19669;40.208333;60.474722;Вожега (22954) кол-во измерений:19669
116;22974;Нюксеница;19937;44.2225;60.413333;Нюксеница (22974) кол-во измерений:19937
117;22981;Великий Устюг;19678;46.3;60.77;Великий Устюг (22981) кол-во измерений:19678
118;22996;Объячево;28282;49.635556;60.328611;Объячево (22996) кол-во измерений:28282
119;23022;Амдерма;27793;61.678889;69.758889;Амдерма (23022) кол-во измерений:27793
120;23029;УСТЬ-КАРА;16377;64.930556;69.251667;УСТЬ-КАРА (23029) кол-во измерений:16377
121;23032;Марресаля;33200;66.814444;69.714167;Марресаля (23032) кол-во измерений:33200
122;23058;Антипаюта;18027;76.858056;69.103889;Антипаюта (23058) кол-во измерений:18027
123;23078;Таймырский;19351;88.3;69.33;Таймырский (23078) кол-во измерений:19351
124;23104;Сенгейский Шар;19159;50.780003;68.353333;Сенгейский Шар (23104) кол-во измерений:19159
125;23114;мыс Константиновский;19452;55.496666999999995;68.540556;мыс Константиновский (23114) кол-во измерений:19452
126;23174;Потапово;20309;86.25;68.6667;Потапово (23174) кол-во измерений:20309
127;23176;Исток;11867;89.25;68.42;Исток (23176) кол-во измерений:11867
128;23205;Нарьян-Мар;32088;53.0175;67.625;Нарьян-Мар (23205) кол-во измерений:32088
129;23207;Коткино;20330;51.141111;67.028333;Коткино (23207) кол-во измерений:20330
130;23215;Хорей Вер;19275;58.04444399999999;67.420833;Хорей Вер (23215) кол-во измерений:19275
131;23219;Хоседа-Хард;28701;59.383300000000006;67.0833;Хоседа-Хард (23219) кол-во измерений:28701
132;23220;Елецкая;20075;64.223333;67.045833;Елецкая (23220) кол-во измерений:20075
133;23226;Воркута;24985;63.97;67.48;Воркута (23226) кол-во измерений:24985
134;23242;Новый порт;28349;72.884167;67.687781;Новый порт (23242) кол-во измерений:28349
135;23256;Тазовский;27537;78.716667;67.475556;Тазовский (23256) кол-во измерений:27537
136;23274;Игарка;27677;86.57;67.47;Игарка (23274) кол-во измерений:27677
137;23305;Окунев Нос;20113;52.564167;66.2575;Окунев Нос (23305) кол-во измерений:20113
138;23311;Мишвань;18254;55.73;66.95;Мишвань (23311) кол-во измерений:18254
139;23324;Петрунь;34372;60.754444;66.471111;Петрунь (23324) кол-во измерений:34372
140;23330;Салехард М-Ii;46153;66.674444;66.531944;Салехард М-Ii (23330) кол-во измерений:46153
141;23339;Полуй;19300;68.669444;66.035278;Полуй (23339) кол-во измерений:19300
142;23345;Ныда;24075;72.896114;66.624444;Ныда (23345) кол-во измерений:24075
143;23358;Новый Уренгой;12418;76.500556;66.074167;Новый Уренгой (23358) кол-во измерений:12418
144;23363;Советская Речка;19300;83.8;66.82;Советская Речка (23363) кол-во измерений:19300
145;23375;Курейка;21785;87.22;66.47;Курейка (23375) кол-во измерений:21785
146;23376;Светлогорск;8064;88.4;66.9;Светлогорск (23376) кол-во измерений:8064
147;23383;Агата;26919;93.4667;66.8833;Агата (23383) кол-во измерений:26919
148;23405;Усть-Цильма;42274;52.269999999999996;65.43;Усть-Цильма (23405) кол-во измерений:42274
149;23411;Мутный Материк;20145;55.144166999999996;65.954167;Мутный Материк (23411) кол-во измерений:20145
150;23412;Усть-Уса;28791;56.905556;65.984444;Усть-Уса (23412) кол-во измерений:28791
151;23416;Кожим рудник;20156;59.6;65.7;Кожим рудник (23416) кол-во измерений:20156
152;23418;Печора;26051;57.1;65.12;Печора (23418) кол-во измерений:26051
153;23426;Мужи;28457;64.705556;65.4075;Мужи (23426) кол-во измерений:28457
154;23431;Питляр;20055;65.9125;65.841389;Питляр (23431) кол-во измерений:20055
155;23443;Пангоды;14458;74.508056;65.848889;Пангоды (23443) кол-во измерений:14458
156;23445;Надым;19891;72.689444;65.480556;Надым (23445) кол-во измерений:19891
157;23453;Уренгой;20066;78.434444;65.962778;Уренгой (23453) кол-во измерений:20066
158;23463;Янов Стан;19008;84.3278;65.9772;Янов Стан (23463) кол-во измерений:19008
159;23465;Красноселькуп;18621;82.454722;65.706667;Красноселькуп (23465) кол-во измерений:18621
160;23471;Нижневартовск;17608;76.6;60.916667;Нижневартовск (23471) кол-во измерений:17608
161;23472;Туруханск;20084;87.93;65.78;Туруханск (23472) кол-во измерений:20084
162;23484;Большой Порог;19700;90.05;65.63;Большой Порог (23484) кол-во измерений:19700
163;23499;Тембенчи;22426;98.89999999999999;64.95;Тембенчи (23499) кол-во измерений:22426
164;23501;Левкинская;18898;51.1;64.8;Левкинская (23501) кол-во измерений:18898
165;23503;Ижма;28019;53.919167;65.000556;Ижма (23503) кол-во измерений:28019
166;23509;Кедва-Вом;19079;53.57;64.22;Кедва-Вом (23509) кол-во измерений:19079
167;23514;Ираель;19889;55.39999999999999;64.52;Ираель (23514) кол-во измерений:19889
168;23518;Усть-Щугор;41237;57.62;64.27;Усть-Щугор (23518) кол-во измерений:41237
