;site_code;site_name;value_amount;lon;lat;name_map
0;20046;им.Э.Т.Кренкеля;17185;58.058889;80.626389;им.Э.Т.Кренкеля (20046) кол-во измерений:17185
1;20107;Баренцбург;27471;;;Баренцбург (20107) кол-во измерений:27471
2;20674;остров Диксон;28839;80.40000299999998;73.51361100000001;остров Диксон (20674) кол-во измерений:28839
3;20891;Хатанга;29633;102.47;71.98;Хатанга (20891) кол-во измерений:29633
4;20946;им.Е.К.Федорова;18352;59.091111;70.446669;им.Е.К.Федорова (20946) кол-во измерений:18352
5;20967;Сеяха;27259;72.513611;70.170003;Сеяха (20967) кол-во измерений:27259
6;20973;Кресты Таймыр.;17330;89.9;70.87;Кресты Таймыр. (20973) кол-во измерений:17330
7;20978;Караул;18922;83.1667;70.0833;Караул (20978) кол-во измерений:18922
8;20982;Волочанка;27767;;;Волочанка (20982) кол-во измерений:27767
9;21432;о. Котельный;28998;137.8666667;76.0;о. Котельный (21432) кол-во измерений:28998
10;21535;Пролив Санникова;19634;138.89999;74.66666;Пролив Санникова (21535) кол-во измерений:19634
11;21636;Мыс Кигилях;17325;139.8688965;73.33583069;Мыс Кигилях (21636) кол-во измерений:17325
12;21721;Столб(Им.Хабарова);14016;126.35;72.4;Столб(Им.Хабарова) (21721) кол-во измерений:14016
13;21802;Саскылах;27991;114.08;71.97;Саскылах (21802) кол-во измерений:27991
14;21813;Тюмети;17210;123.56666999999999;71.91666;Тюмети (21813) кол-во измерений:17210
15;21824;Тикси,бухта;26226;128.9166667;71.58333333;Тикси,бухта (21824) кол-во измерений:26226
16;21908;Джалинда;25658;113.966667;70.133333;Джалинда (21908) кол-во измерений:25658
17;21921;Кюсюр;34346;127.4;70.68333333;Кюсюр (21921) кол-во измерений:34346
18;21931;Юбилейная;28070;136.2166667;70.76666667;Юбилейная (21931) кол-во измерений:28070
19;21946;Чокурдах;25992;147.896389;70.622222;Чокурдах (21946) кол-во измерений:25992
20;21978;Валькаркай;19460;170.9252778;70.08388889;Валькаркай (21978) кол-во измерений:19460
21;21982;О.Врангеля;32279;181.35;70.98333333;О.Врангеля (21982) кол-во измерений:32279
22;22003;Вайда-Губа;36414;31.98;69.93;Вайда-Губа (22003) кол-во измерений:36414
23;22004;Никель;20079;30.23;69.4;Никель (22004) кол-во измерений:20079
24;22009;Перевал;16430;31.4;69.2;Перевал (22009) кол-во измерений:16430
25;22012;Цып-Наволок;25751;33.048935;69.72013;Цып-Наволок (22012) кол-во измерений:25751
26;22018;Ура-Губа;18265;32.8;69.28;Ура-Губа (22018) кол-во измерений:18265
27;22019;Полярное;26195;33.48;69.2;Полярное (22019) кол-во измерений:26195
28;22028;Териберка;42772;35.12;69.2;Териберка (22028) кол-во измерений:42772
29;22100;Верховье р.Лотты;18551;28.900000000000002;68.5;Верховье р.Лотты (22100) кол-во измерений:18551
30;22101;Янискоски;18096;28.78;68.97;Янискоски (22101) кол-во измерений:18096
31;22105;Ниванкюль;19707;30.73;68.35;Ниванкюль (22105) кол-во измерений:19707
32;22106;Падун;27797;31.8;68.6;Падун (22106) кол-во измерений:27797
33;22113;Мурманск;28838;33.05;68.97;Мурманск (22113) кол-во измерений:28838
34;22127;Ловозеро;27506;35.03;68.0;Ловозеро (22127) кол-во измерений:27506
35;22140;Святой Нос;41570;39.77;68.15;Святой Нос (22140) кол-во измерений:41570
36;22165;Канин Нос;35239;43.2875;68.655281;Канин Нос (22165) кол-во измерений:35239
37;22193;Бугрино;19955;49.301111;68.780278;Бугрино (22193) кол-во измерений:19955
38;22204;Ковдор;19420;30.45;67.57;Ковдор (22204) кол-во измерений:19420
39;22212;Мончегорск;27375;32.95;67.93;Мончегорск (22212) кол-во измерений:27375
40;22214;Зашеек;27880;32.55;67.4;Зашеек (22214) кол-во измерений:27880
41;22217;Кандалакша;37344;32.35;67.15;Кандалакша (22217) кол-во измерений:37344
42;22235;Краснощелье;29381;37.05;67.35;Краснощелье (22235) кол-во измерений:29381
43;22249;Каневка;19041;39.67;67.13;Каневка (22249) кол-во измерений:19041
44;22271;Шойна;20511;44.174169;67.876667;Шойна (22271) кол-во измерений:20511
45;22292;Индига;32490;48.683611;67.689169;Индига (22292) кол-во измерений:32490
46;22302;Зареченск;17999;31.4;66.7;Зареченск (22302) кол-во измерений:17999
47;22312;Ковда;26757;32.88;66.7;Ковда (22312) кол-во измерений:26757
